nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,długośćmm,szerokośćmm,kąt,obwódmm,obwód_c.mm,średnica_fereta_hmm,średnica_fereta_vmm,średn._martinamm,średn._sitowamm,średnia_jaskrawość,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,116,865,11.6,86.5,3.52,2.91547595,1.48660687,112.17,7.31293146,7.08110165,1.6,2.8,1.3,1.33416641,239.2,82.4,135.5,177.3,123.5,20,100.0,12288.0
2,365,806,36.5,80.6,2.75,2.57099203,1.21655251,103.5,6.4575931,6.14253336,1.5,2.6,1.4,1.36014705,235.6,86.1,143.7,180.4,129.7,20,100.0,12288.0
3,545,750,54.5,75.0,1.95,2.05182845,0.98994949,136.97,5.38890147,5.1074843,1.8,1.8,1.5,1.13137085,231.0,89.1,145.4,176.6,131.3,20,100.0,12288.0
4,838,672,83.8,67.2,4.25,4.55411901,1.50332964,81.16,10.7662849,10.2551022,1.7,4.6,1.0,1.40356688,237.0,84.0,137.9,174.3,125.0,20,100.0,12288.0
5,741,616,74.1,61.6,1.17,1.39283883,1.04403065,68.96,3.79002278,3.74495573,1.3,1.4,1.3,0.98994949,230.3,91.9,151.0,176.6,135.4,20,100.0,12288.0
6,1144,534,114.4,53.4,0.9,1.52315462,0.63245553,66.8,3.55411263,3.50513529,0.9,1.5,0.7,0.60827625,226.9,66.4,110.4,157.1,101.7,20,100.0,12288.0
7,427,495,42.7,49.5,0.5,0.86023253,0.58309519,54.46,2.20105982,2.18976359,0.7,0.8,0.7,0.6,224.7,72.8,121.5,165.5,111.1,20,100.0,12288.0
8,560,480,56.0,48.0,0.39,0.78102497,0.42426407,39.81,1.89022835,1.87241379,0.8,0.6,0.7,0.5,219.2,70.2,112.2,156.8,103.8,20,100.0,12288.0
9,495,410,49.5,41.0,0.94,1.20415946,0.92195445,41.63,3.39451859,3.31136472,1.0,1.2,0.9,0.80622577,228.6,69.6,116.1,156.7,106.0,20,100.0,12288.0
10,294,335,29.4,33.5,1.12,1.84390889,0.60827625,12.53,4.10718728,4.08205516,1.9,0.9,1.7,0.82462113,233.8,70.7,117.8,160.3,107.7,20,100.0,12288.0
11,861,317,86.1,31.7,0.89,1.39283883,0.72801099,21.04,3.46760909,3.42691159,1.4,1.0,1.2,0.76157731,229.7,68.0,115.7,159.0,105.5,20,100.0,12288.0
12,588,188,58.8,18.8,8.07,9.04267659,1.20415946,169.81,20.5441726,18.9208734,9.0,2.4,4.1,1.14017543,242.2,78.2,130.7,170.9,118.7,20,100.0,12288.0
13,720,179,72.0,17.9,0.82,1.14017543,0.82462113,164.74,2.99570943,2.96008032,1.2,0.8,1.2,0.7,228.3,74.7,126.8,170.8,115.3,20,100.0,12288.0
14,301,148,30.1,14.8,2.07,2.37065392,0.89442719,117.65,5.5010326,5.42751649,1.4,2.2,1.1,1.07703296,235.2,73.5,122.1,160.6,111.1,20,100.0,12288.0
15,1082,132,108.2,13.2,0.24,0.58309519,0.4472136,59.04,1.40160279,1.38378823,0.5,0.6,0.5,0.4,214.4,73.5,113.7,153.9,105.5,20,100.0,12288.0
16,584,99,58.4,9.9,0.1,0.31622777,0.2,18.43,0.80644951,0.80644951,0.4,0.4,0.4,0.14142136,180.4,57.7,87.1,118.3,81.2,20,100.0,12288.0
17,455,48,45.5,4.8,2.51,2.98328678,1.0198039,13.57,6.77917983,6.68132693,3.0,1.0,3.0,0.9,241.2,78.6,130.5,175.0,119.1,20,100.0,12288.0
18,731,13,73.1,1.3,1.11,1.55241747,0.80622577,75.07,3.85216771,3.76945028,1.0,1.6,0.8,0.92195445,227.0,78.0,129.5,174.9,118.4,20,100.0,12288.0
