nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,115.5,865.5,11.6,86.6,5.85,3.04922829,1.42655954,165.96,10.44264061,14.52706992,3.0,1.5,3.0,2.72838314,124.6,84.1,135.5,174.9,124.6,4,20.2,17.4
2,364.5,806.5,36.5,80.7,4.27,2.56899319,1.4,165.43,8.28700572,12.74087559,2.3,1.3,2.6,2.33222626,132.6,89.2,145.6,180.0,132.6,4,18.5,14.9
3,544.5,750.5,54.5,75.0,3.22,2.0,1.2,135.1,7.02842708,10.21079955,2.0,1.1,2.0,2.02510344,137.4,94.8,150.9,179.7,137.4,4,13.4,13.0
4,837.5,672.5,83.8,67.2,5.85,4.5,1.58028326,3.84,14.78406196,20.21980276,4.5,1.4,4.5,2.73028981,127.7,87.2,139.3,174.9,127.8,2,17.0,24.1
5,740.5,616.5,74.0,61.7,1.59,1.3,1.03612137,34.09,4.77989894,7.36257054,1.3,1.0,1.3,1.42283199,142.7,99.7,157.5,179.9,142.7,4,11.1,10.2
6,1143.5,534.5,114.4,53.5,1.23,1.495296,0.68703918,20.68,3.93137083,7.09320474,1.5,0.7,1.5,1.25143303,105.2,70.5,112.7,157.9,105.2,1,7.9,10.2
7,426.5,495.5,42.7,49.6,1.17,0.8,0.76375546,30.15,2.38994948,4.91334249,0.7,0.7,0.8,1.22052868,112.3,76.7,121.8,157.0,112.3,2,7.0,7.3
8,559.5,480.5,56.0,48.1,0.65,0.8,0.6,68.02,2.10710677,4.42069843,0.7,0.5,0.8,0.90972837,105.2,73.9,112.5,149.4,105.2,1,5.3,6.8
9,494.5,410.5,49.5,41.1,1.17,1.10867367,0.84236231,176.47,3.47279218,6.15794355,1.0,0.8,1.1,1.22052868,113.4,76.3,122.7,162.7,113.4,3,8.7,9.6
10,293.5,335.5,29.4,33.6,1.69,1.75436497,0.7713799,81.58,4.33137083,8.23828573,1.7,0.7,1.8,1.46689292,111.3,75.4,120.1,160.6,111.3,4,10.4,10.5
11,860.5,317.5,86.1,31.8,1.53,1.4,0.86967068,67.36,4.37989894,7.22804109,1.4,0.8,1.4,1.39448343,108.0,72.0,116.7,157.9,108.0,1,8.4,9.6
12,587.5,188.5,58.8,18.9,11.1,9.57341766,1.3,101.89,32.47106769,39.31702189,9.1,1.3,9.6,3.76014096,119.8,79.9,130.5,169.6,119.8,9,19.2,42.5
13,719.5,179.5,72.0,17.9,1.3,1.21106052,0.8,95.09,4.18994948,6.38409683,1.1,0.7,1.2,1.2865502,117.7,78.6,127.7,169.1,117.7,1,8.6,9.0
14,300.5,148.5,30.1,14.9,3.64,2.4,1.0,157.39,7.54558437,11.13918983,2.3,1.1,2.4,2.15165993,116.4,78.8,126.5,163.0,116.4,3,13.8,13.5
15,1081.5,132.5,108.2,13.2,0.46,0.69484487,0.5,61.86,2.10710677,3.77871253,0.5,0.5,0.7,0.7688608,105.7,77.1,112.5,145.7,105.7,1,3.8,6.3
16,583.5,99.5,58.4,10.0,0.11,0.0,0.0,0.0,1.13137081,1.13137081,0.4,0.1,0.0,0.37424103,82.3,61.4,87.4,111.7,82.4,1,1.5,5.3
17,454.5,48.5,45.5,4.9,3.93,3.14651127,1.0,83.12,7.7213203,13.91508007,2.9,0.9,3.1,2.2359079,121.7,81.1,132.0,175.8,121.8,4,15.6,16.2
18,730.5,16.0,73.0,1.6,1.68,1.42030678,0.80906925,7.43,5.13137083,7.13604314,1.4,0.7,1.4,1.46303012,131.5,90.4,142.0,185.6,131.5,3,10.6,8.7
