																																																																																																																				
																																																																																																																				
		Pp	D	S	Pp	D	S	Pp	D	S	Pw	R	D	S	Pw	R	Dk	Sk	Ob	D/S						Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob									Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob									S	Pw	Dk	Sk	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob																	
30	2	0.41163311	0.872483221	0.536912752	0.41163311	0.872483221	0.536912752	0.41163311	0.872483221	0.536912752	0.406468177	0.987452582	0.872483221	0.536912752	0.406468177	0.987452582	0.872483221	0.536912752	0.156939139	1.625						0.939597315	0.872483221	0.387680806	0.469798658	0.33557047	0.031640955	0.805369128	0.604026846	0.172996923	0.939597315	0.872483221	0.387680806	1.275167785	0.939597315	0.66667493	1.543624161	1.073825503	1.073261206									0.872483221	0.536912752	0.156939139	0.536912752	0.33557047	0.037573634	0.872483221	0.536912752	0.156939139	1.140939597	0.604026846	0.269106325	1.610738255	0.872483221	0.788729915	5.704697987	0.67114094	1.938008516									0.402684564	0.154317373	0.402684564	0.123453898	0.402684564	0.123453898	0.004325413	0.402684564	0.123453898	0.004325413	0.805369128	0.580298185	0.161762693	0.805369128	1.012711139	0.376616971	0.939597315	1.714733571	0.849442018																				
572	615.5	0.586129754	0.939597315	0.872483221	0.586129754	0.939597315	0.872483221	0.586129754	0.939597315	0.872483221	0.656119094	1.119409294	0.939597315	0.872483221	0.656119094	1.119409294	0.939597315	0.872483221	0.387680806	1.076923077						0.469798658	0.33557047	0.031640955	0.536912752	0.469798658	0.06589229	0.67114094	0.738255034	0.181856391	1.006711409	0.872483221	0.427785717	1.342281879	1.006711409	0.800911683												0.738255034	0.469798658	0.100776443	0.604026846	0.33557047	0.043506314	0.738255034	0.469798658	0.100776443	1.140939597	0.604026846	0.269106325	1.677852349	0.738255034	0.612568896	4.362416107	0.738255034	1.761135576									0.738255034	0.576483041	0.738255034	0.461186433	0.738255034	0.461186433	0.097594805	0.738255034	0.461186433	0.097594805	0.805369128	0.62353948	0.182369384	0.939597315	0.604873654	0.211952883	1.006711409	1.339128868	0.788791542																				
971	137.5	0.29082774	0.738255034	0.469798658	0.29082774	0.738255034	0.469798658	0.29082774	0.738255034	0.469798658	0.299378406	1.029401136	0.738255034	0.469798658	0.299378406	1.029401136	0.738255034	0.469798658	0.100776443	1.571428571						1.006711409	0.872483221	0.427785717	0.402684564	0.469798658	0.042636187	0.738255034	0.67114094	0.181935493	1.006711409	0.738255034	0.325427226															0.536912752	0.33557047	0.037573634	0.872483221	0.402684564	0.093973637	0.872483221	0.536912752	0.156939139	0.939597315	0.604026846	0.211440684	1.409395973	0.872483221	0.668415182	7.046979866	1.140939597	6.812455895									0.805369128	0.725372731	0.805369128	0.580298185	0.805369128	0.580298185	0.161762693	0.33557047	0.124769155	0.003592552	0.805369128	0.62353948	0.182369384	0.738255034	0.778289266	0.227682058																							
867.5	241.5	0.125279642	0.469798658	0.402684564	0.125279642	0.469798658	0.402684564	0.125279642	0.469798658	0.402684564	0.154317373	1.231783317	0.469798658	0.33557047	0.133439935	1.028407776	0.469798658	0.33557047	0.031640955	1.4						0.805369128	0.604026846	0.172996923	0.33557047	0.33557047	0.019775597	0.805369128	0.536912752	0.14175148	1.208053691	0.805369128	0.478411245															0.872483221	0.536912752	0.156939139	0.939597315	0.268456376	0.048094252	1.073825503	0.469798658	0.158916698	1.275167785	0.604026846	0.307550086	1.476510067	0.738255034	0.526426395	2.55033557	1.006711409	1.762005702									0.805369128	0.77942435	0.805369128	0.62353948	0.805369128	0.62353948	0.182369384	0.402684564	0.123453898	0.004325413	0.738255034	0.699013558	0.193797254	0.805369128	1.142435025	0.434979855																							
833.5	535.5	0.434004474	0.939597315	0.738255034	0.434004474	0.939597315	0.738255034	0.434004474	0.939597315	0.738255034	0.576483041	1.328288245	1.006711409	0.872483221	0.714675015	1.064865772	1.006711409	0.872483221	0.427785717	1.153846154						0.67114094	0.738255034	0.181856391	0.604026846	0.469798658	0.077520341	0.67114094	0.67114094	0.158204777	1.073825503	0.738255034	0.354141393															0.604026846	0.33557047	0.043506314	0.67114094	0.402684564	0.068344464	0.872483221	0.536912752	0.156939139	0.939597315	0.604026846	0.211440684	1.677852349	0.738255034	0.612568896	2.684563758	0.738255034	1.043281401									0.805369128	1.265888924	0.805369128	1.012711139	0.805369128	1.012711139	0.376616971	0.67114094	0.354938967	0.054672258	0.872483221	0.571740012	0.174980466	0.805369128	1.228917616	0.469152555																							
491.5	586.5	0.129753915	0.469798658	0.33557047	0.129753915	0.469798658	0.33557047	0.129753915	0.469798658	0.33557047	0.133439935	1.028407776	0.805369128	0.604026846	0.408022161	1.072858271	0.805369128	0.604026846	0.172996923	1.333333333						0.536912752	0.469798658	0.06589229	0.402684564	0.33557047	0.025708276	0.67114094	0.536912752	0.111376163	0.738255034	0.738255034	0.210570558															1.140939597	0.604026846	0.269106325	1.275167785	0.134228188	0.017402525	1.073825503	0.469798658	0.158916698	1.140939597	0.67114094	0.324319793	1.409395973	0.805369128	0.580927941												0.805369128	0.77942435	0.805369128	0.62353948	0.805369128	0.62353948	0.182369384	0.469798658	0.138606369	0.006388346	0.805369128	0.537056889	0.14181672	0.872483221	0.759118959	0.280214807																							
404	39	0.67114094	1.006711409	0.872483221	0.67114094	1.006711409	0.872483221	0.67114094	1.006711409	0.872483221	0.714675015	1.064865772	0.67114094	0.738255034	0.378293771	0.960780201	0.67114094	0.738255034	0.181856391	0.909090909						1.006711409	0.738255034	0.325427226	0.33557047	0.402684564	0.025629174	0.738255034	0.536912752	0.126563821	1.208053691	0.805369128	0.478411245															0.872483221	0.402684564	0.093973637	0.805369128	0.33557047	0.061304351	0.939597315	0.536912752	0.172126797	1.409395973	0.536912752	0.278440407	2.483221477	0.536912752	0.521442944												0.33557047	0.155961443	0.33557047	0.124769155	0.33557047	0.124769155	0.003592552	0.402684564	0.123453898	0.004325413	0.872483221	0.571740012	0.174980466																										
844.5	293.5	0.572706935	1.073825503	0.805369128	0.572706935	1.073825503	0.805369128	0.572706935	1.073825503	0.805369128	0.725372731	1.266568792	0.536912752	0.33557047	0.155961443	1.124431695	0.536912752	0.33557047	0.037573634	1.6						0.402684564	0.469798658	0.042636187	0.67114094	0.469798658	0.089148392	0.805369128	0.604026846	0.172996923	1.006711409	0.939597315	0.480626112															1.140939597	0.604026846	0.269106325	0.805369128	0.33557047	0.061304351	0.805369128	0.469798658	0.112404494	1.342281879	0.604026846	0.326771967	1.744966443	0.738255034	0.641283063												0.738255034	4.639363092	0.738255034	3.711490473	0.402684564	0.123453898	0.004325413	0.268456376	0.203810639	0.006538528	0.469798658	1.071897662	0.101467428																										
269	789	0.380313199	0.805369128	0.604026846	0.380313199	0.805369128	0.604026846	0.380313199	0.805369128	0.604026846	0.408022161	1.072858271	0.536912752	0.469798658	0.204788073	1.173593185	0.536912752	0.469798658	0.06589229	1.142857143						1.275167785	0.939597315	0.66667493	0.67114094	0.469798658	0.089148392	0.67114094	0.604026846	0.134553163	1.006711409	0.805369128	0.37589455															0.939597315	0.604026846	0.211440684	0.738255034	0.402684564	0.076887522	0.805369128	0.469798658	0.112404494	1.073825503	0.604026846	0.249884445	1.744966443	0.67114094	0.537896241												0.402684564	0.154317373	0.402684564	0.123453898	0.67114094	0.354938967	0.054672258	0.67114094	0.463042205	0.086981699	0.738255034	0.61973785	0.160299642																										
169	680.5	0.393736018	0.67114094	0.738255034	0.393736018	0.67114094	0.738255034	0.393736018	0.67114094	0.738255034	0.378293771	0.960780201	0.872483221	0.536912752	0.406468177	0.803943695	0.872483221	0.536912752	0.156939139	1.625						0.738255034	0.67114094	0.181935493	0.402684564	0.469798658	0.042636187	0.738255034	0.67114094	0.181935493	0.738255034	0.738255034	0.210570558															0.939597315	0.268456376	0.048094252	0.805369128	0.33557047	0.061304351	0.805369128	0.469798658	0.112404494	1.342281879	0.67114094	0.395511942	1.812080537	0.67114094	0.561626958												0.67114094	0.443673708	0.67114094	0.354938967	0.469798658	0.138606369	0.006388346	0.536912752	0.267519481	0.025153938	0.738255034	0.580099995	0.143940471																										
