																																																																																																																				
																																																																																																																				
		Pp	D	S	Pp	D	S	Pp	D	S	Pw	R	D	S	Pw	R	Dk	Sk	Ob	D/S						Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob									Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob									S	Pw	Dk	Sk	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob																	
30	2	0.41163311	0.872483221	0.536912752	0.41163311	0.872483221	0.536912752	0.41163311	0.872483221	0.536912752	0.406468177	0.987452582	0.872483221	0.536912752	0.406468177	0.987452582	0.872483221	0.536912752	0.156939139	1.625						0.939597315	0.872483221	0.387680806	0.469798658	0.33557047	0.031640955	0.805369128	0.604026846	0.172996923	0.939597315	0.872483221	0.387680806	1.275167785	0.939597315	0.66667493												0.872483221	0.536912752	0.156939139	0.536912752	0.33557047	0.037573634	0.872483221	0.536912752	0.156939139	1.140939597	0.604026846	0.269106325	1.610738255	0.872483221	0.788729915	5.704697987	0.67114094	1.938008516									0.402684564	0.154317373	0.402684564	0.123453898	0.402684564	0.123453898	0.004325413	0.402684564	0.123453898	0.004325413	0.805369128	0.580298185	0.161762693	0.805369128	1.012711139	0.376616971	0.939597315	1.714733571	0.849442018																				
572	615.5	0.586129754	0.939597315	0.872483221	0.586129754	0.939597315	0.872483221	0.586129754	0.939597315	0.872483221	0.656119094	1.119409294	0.939597315	0.872483221	0.656119094	1.119409294	0.939597315	0.872483221	0.387680806	1.076923077						0.469798658	0.33557047	0.031640955	0.536912752	0.469798658	0.06589229	0.67114094	0.738255034	0.181856391	1.006711409	0.872483221	0.427785717															0.738255034	0.469798658	0.100776443	0.604026846	0.33557047	0.043506314	0.738255034	0.469798658	0.100776443	1.140939597	0.604026846	0.269106325				4.362416107	0.738255034	1.761135576									0.738255034	0.576483041	0.738255034	0.461186433	0.738255034	0.461186433	0.097594805	0.738255034	0.461186433	0.097594805	0.805369128	0.62353948	0.182369384	0.939597315	0.604873654	0.211952883																							
971	137.5	0.29082774	0.738255034	0.469798658	0.29082774	0.738255034	0.469798658	0.29082774	0.738255034	0.469798658	0.299378406	1.029401136	0.738255034	0.469798658	0.299378406	1.029401136	0.738255034	0.469798658	0.100776443	1.571428571						1.006711409	0.872483221	0.427785717	0.402684564	0.469798658	0.042636187	0.738255034	0.67114094	0.181935493	1.006711409	0.738255034	0.325427226															0.536912752	0.33557047	0.037573634	0.872483221	0.402684564	0.093973637	0.872483221	0.536912752	0.156939139	0.939597315	0.604026846	0.211440684															0.805369128	0.725372731	0.805369128	0.580298185	0.805369128	0.580298185	0.161762693	0.33557047	0.124769155	0.003592552	0.805369128	0.62353948	0.182369384																										
867.5	241.5	0.125279642	0.469798658	0.402684564	0.125279642	0.469798658	0.402684564	0.125279642	0.469798658	0.402684564	0.154317373	1.231783317	0.469798658	0.33557047	0.133439935	1.028407776	0.469798658	0.33557047	0.031640955	1.4						0.805369128	0.604026846	0.172996923	0.33557047	0.33557047	0.019775597	0.805369128	0.536912752	0.14175148	1.208053691	0.805369128	0.478411245															0.872483221	0.536912752	0.156939139	0.939597315	0.268456376	0.048094252	1.073825503	0.469798658	0.158916698	1.275167785	0.604026846	0.307550086															0.805369128	0.77942435	0.805369128	0.62353948	0.805369128	0.62353948	0.182369384	0.402684564	0.123453898	0.004325413																													
833.5	535.5	0.434004474	0.939597315	0.738255034	0.434004474	0.939597315	0.738255034	0.434004474	0.939597315	0.738255034	0.576483041	1.328288245	1.006711409	0.872483221	0.714675015	1.064865772	1.006711409	0.872483221	0.427785717	1.153846154						0.67114094	0.738255034	0.181856391	0.604026846	0.469798658	0.077520341				1.073825503	0.738255034	0.354141393															0.604026846	0.33557047	0.043506314	0.67114094	0.402684564	0.068344464																					0.805369128	1.265888924	0.805369128	1.012711139	0.805369128	1.012711139	0.376616971	0.67114094	0.354938967	0.054672258																													
491.5	586.5	0.129753915	0.469798658	0.33557047	0.129753915	0.469798658	0.33557047	0.129753915	0.469798658	0.33557047	0.133439935	1.028407776	0.805369128	0.604026846	0.408022161	1.072858271	0.805369128	0.604026846	0.172996923	1.333333333						0.536912752	0.469798658	0.06589229	0.402684564	0.33557047	0.025708276																					1.140939597	0.604026846	0.269106325	1.275167785	0.134228188	0.017402525																					0.805369128	0.77942435	0.805369128	0.62353948	0.805369128	0.62353948	0.182369384	0.469798658	0.138606369	0.006388346																													
404	39	0.67114094	1.006711409	0.872483221	0.67114094	1.006711409	0.872483221	0.67114094	1.006711409	0.872483221	0.714675015	1.064865772	0.67114094	0.738255034	0.378293771	0.960780201	0.67114094	0.738255034	0.181856391	0.909090909						1.006711409	0.738255034	0.325427226	0.33557047	0.402684564	0.025629174																					0.872483221	0.402684564	0.093973637																								0.33557047	0.155961443	0.33557047	0.124769155	0.33557047	0.124769155	0.003592552	0.402684564	0.123453898	0.004325413																													
844.5	293.5	0.572706935	1.073825503	0.805369128	0.572706935	1.073825503	0.805369128	0.572706935	1.073825503	0.805369128	0.725372731	1.266568792	0.536912752	0.33557047	0.155961443	1.124431695	0.536912752	0.33557047	0.037573634	1.6						0.402684564	0.469798658	0.042636187																								1.140939597	0.604026846	0.269106325																								0.738255034	4.639363092	0.738255034	3.711490473	0.402684564	0.123453898	0.004325413	0.268456376	0.203810639	0.006538528																													
269	789	0.380313199	0.805369128	0.604026846	0.380313199	0.805369128	0.604026846	0.380313199	0.805369128	0.604026846	0.408022161	1.072858271	0.536912752	0.469798658	0.204788073	1.173593185	0.536912752	0.469798658	0.06589229	1.142857143						1.275167785	0.939597315	0.66667493																								0.939597315	0.604026846	0.211440684																								0.402684564	0.154317373	0.402684564	0.123453898	0.67114094	0.354938967	0.054672258	0.67114094	0.463042205	0.086981699																													
169	680.5	0.393736018	0.67114094	0.738255034	0.393736018	0.67114094	0.738255034	0.393736018	0.67114094	0.738255034	0.378293771	0.960780201	0.872483221	0.536912752	0.406468177	0.803943695	0.872483221	0.536912752	0.156939139	1.625						0.738255034	0.67114094	0.181935493																								0.939597315	0.268456376	0.048094252																								0.67114094	0.443673708	0.67114094	0.354938967	0.469798658	0.138606369	0.006388346																																
1245	652	0.138702461	0.536912752	0.33557047	0.138702461	0.536912752	0.33557047	0.138702461	0.536912752	0.33557047	0.155961443	1.124431695	1.006711409	0.738255034	0.626030359	1.156345333	1.006711409	0.738255034	0.325427226	1.363636364						0.33557047	0.33557047	0.019775597																								1.275167785	0.604026846	0.307550086																								0.469798658	0.173257961	0.469798658	0.138606369	0.402684564	0.123453898	0.004325413																																
289.5	582.5	0.174496644	0.536912752	0.469798658	0.174496644	0.536912752	0.469798658	0.174496644	0.536912752	0.469798658	0.204788073	1.173593185	0.604026846	0.33557047	0.178482951	1.173262929	0.604026846	0.33557047	0.043506314	1.8						1.208053691	0.805369128	0.478411245																								1.073825503	0.469798658	0.158916698																								0.402684564	0.154317373	0.402684564	0.123453898	0.268456376	0.203810639	0.006538528																																
