nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,1166.0,337.5,116.6,33.8,0.7,1.15986404,0.8,69.38,2.90710677,6.20910161,0.9,0.7,1.2,0.94406974,168.2,123.3,183.5,207.7,168.3,2,8.3,8.7
2,211.0,73.0,21.1,7.3,0.47,0.73997989,0.7,35.57,2.58994948,4.52470208,0.7,0.7,0.7,0.77357778,160.5,118.6,175.5,192.7,160.5,1,6.2,7.3
3,834.0,497.5,83.4,49.8,0.29,0.68201756,0.5,12.76,2.35563489,3.73546419,0.7,0.5,0.7,0.60765078,152.7,113.4,165.0,192.4,152.7,2,4.8,6.0
4,401.5,504.5,40.2,50.5,0.32,0.65055923,0.52191272,65.06,1.90710677,3.69452386,0.6,0.5,0.7,0.63830765,148.8,114.3,160.1,180.6,148.8,1,5.0,6.2
5,282.5,81.0,28.2,8.1,0.99,1.3,1.0,2.6,4.57989895,7.25642889,1.3,1.0,1.3,1.1227231,171.2,125.4,187.8,205.6,171.2,1,10.0,9.9
6,957.5,460.5,95.8,46.1,0.66,1.18948746,0.63482637,93.58,3.27279218,5.86448259,1.1,0.6,1.2,0.91669957,157.3,115.1,171.2,197.1,157.4,1,7.5,8.4
7,1090.0,825.5,109.0,82.6,0.35,0.8,0.50461779,173.85,2.02426406,4.15127426,0.7,0.4,0.8,0.66755812,144.4,104.0,154.2,200.2,144.4,2,4.6,7.5
8,809.5,682.0,81.0,68.2,1.14,1.75006676,0.82254839,10.08,4.29705622,8.34695518,1.7,0.7,1.8,1.20477927,157.1,112.9,171.3,200.5,157.2,2,11.2,10.4
9,1102.5,345.5,110.2,34.6,0.49,0.91665239,0.65575151,158.88,3.27279218,4.97391131,0.9,0.6,0.9,0.78986542,141.7,102.2,152.6,189.4,141.7,1,6.1,7.8
10,436.0,896.0,43.6,89.6,0.43,0.73295875,0.8,125.22,2.81421353,4.81823494,0.7,0.7,0.7,0.7399277,147.6,110.2,158.4,190.5,147.7,1,5.5,7.8
11,119.0,309.5,11.9,31.0,0.63,1.00406809,0.72910933,18.99,3.15563489,5.47925127,1.0,0.7,1.0,0.8956232,149.3,108.1,162.7,188.6,149.3,1,7.5,8.1
12,111.0,165.0,11.1,16.5,0.56,1.04150763,0.7,79.58,3.07279218,5.52383274,0.9,0.6,1.0,0.84440165,162.1,121.8,176.0,195.8,162.1,1,7.1,7.8
13,368.5,459.0,36.9,45.9,0.47,1.03574429,0.61449161,91.03,2.47279217,5.26917441,0.8,0.6,1.0,0.77357778,157.1,116.7,171.0,191.9,157.1,1,6.6,7.0
14,908.5,907.5,90.9,90.8,0.82,1.23089085,0.9,21.52,3.70710677,6.73480729,0.9,0.9,1.2,1.02179079,158.8,118.0,173.1,192.3,158.8,2,9.3,8.4
15,193.0,700.0,19.3,70.0,0.69,1.2,0.81850882,75.59,3.41421354,6.39808764,1.2,0.7,1.2,0.93730213,168.6,125.7,184.0,202.0,168.6,2,7.9,9.0
16,1067.0,618.0,106.7,61.8,0.38,0.8,0.7,108.82,2.38994948,4.71762642,0.7,0.6,0.8,0.69557963,159.4,118.6,172.7,197.6,159.4,1,5.5,6.8
17,353.0,190.0,35.3,19.0,0.27,0.61338997,0.6,11.9,1.70710677,3.81209306,0.5,0.5,0.6,0.58632301,145.9,111.0,156.8,181.2,145.9,2,4.3,6.2
18,297.5,830.5,29.8,83.1,0.34,0.62303085,0.6,116.45,2.24852812,3.84260537,0.6,0.6,0.6,0.65795246,150.3,111.9,163.0,186.3,150.4,1,4.9,6.8
19,469.5,196.0,47.0,19.6,1.03,1.38709631,0.92026148,57.43,4.07279218,7.32315254,1.1,1.1,1.4,1.14517978,155.1,114.1,168.8,192.3,155.1,1,10.9,9.3
20,1103.5,311.5,110.4,31.2,0.22,0.54864192,0.5,69.53,2.07279218,3.29617807,0.5,0.5,0.5,0.52925674,143.9,106.6,153.8,189.8,143.8,2,3.7,6.2
21,515.0,269.5,51.5,27.0,0.75,1.22815256,0.74432673,178.72,4.64852812,6.29029087,1.1,0.7,1.2,0.97720502,158.1,116.5,172.7,192.6,158.2,1,8.5,8.7
22,581.5,80.0,58.2,8.0,0.79,1.34785795,0.80800867,30.46,3.47279218,6.87945027,1.1,0.8,1.3,1.00292534,167.0,124.1,182.0,202.5,167.0,3,9.2,9.3
23,982.5,203.5,98.2,20.4,0.29,0.66522155,0.55996265,156.81,1.82426406,3.85613539,0.5,0.5,0.7,0.60765078,144.7,103.8,155.6,195.9,144.7,1,4.1,6.8
24,382.0,383.5,38.2,38.4,0.24,0.62686357,0.50934806,54.72,2.41421353,3.57906651,0.6,0.5,0.6,0.55279064,152.9,118.9,163.8,185.4,152.9,2,4.3,6.0
25,966.5,247.5,96.7,24.8,0.87,1.2265542,0.8073637,153.96,4.27279218,6.45777824,1.1,0.9,1.2,1.05248202,160.1,117.4,174.4,199.2,160.2,1,9.6,9.0
26,512.0,151.5,51.2,15.2,0.81,1.47718706,0.7,6.89,3.47279218,7.05952243,1.1,0.7,1.5,1.01554125,159.0,117.2,173.0,196.4,159.0,1,8.0,9.9
27,954.0,814.5,95.4,81.5,0.44,0.85710621,0.61788044,67.14,3.29705623,4.66433083,0.9,0.6,0.9,0.74848206,141.8,104.2,152.0,187.8,141.8,1,5.6,7.6
28,1164.5,894.5,116.5,89.5,0.42,0.82363701,0.6,62.44,2.53137082,4.50012206,0.8,0.6,0.8,0.73127328,135.7,97.8,144.7,189.0,135.7,1,5.5,7.3
29,59.5,528.5,6.0,52.9,1.54,2.37329712,0.9,26.61,5.37989895,10.81114082,2.0,0.9,2.4,1.40028172,154.9,114.9,167.7,194.2,155.0,1,11.9,12.9
30,332.0,418.0,33.2,41.8,0.5,0.9,0.69528565,36.12,2.69705623,5.03239133,0.9,0.6,0.9,0.79788456,163.5,121.0,178.3,198.8,163.5,1,6.3,7.8
