threshold,Krzywe,Pałeczki,Removed_dim,Ziarniaki,removed_ob
1,0.0,0.0,0.0,0.0,25.0
2,0.0,0.0,0.0,0.0,25.0
3,0.0,0.0,0.0,0.0,25.0
4,0.0,0.0,0.0,0.0,25.0
5,0.0,0.0,0.0,0.0,25.0
6,0.0,0.0,0.0,0.0,25.0
7,0.0,0.0,0.0,0.0,25.0
8,0.0,0.0,0.0,0.0,25.0
9,0.0,0.0,0.0,0.0,25.0
10,0.0,0.0,0.0,0.0,25.0
11,0.0,0.0,0.0,0.0,25.0
12,0.0,0.0,0.0,0.0,25.0
13,0.0,0.0,0.0,0.0,25.0
14,0.0,0.0,0.0,0.0,25.0
15,0.0,0.0,0.0,0.0,25.0
16,0.0,0.0,0.0,0.0,25.0
17,0.0,0.0,0.0,0.0,25.0
18,0.0,0.0,0.0,0.0,25.0
19,0.0,0.0,0.0,0.0,25.0
20,0.0,0.0,1.0,0.0,24.0
21,0.0,0.0,1.0,0.0,24.0
22,0.0,0.0,1.0,0.0,24.0
23,0.0,0.0,3.0,0.0,22.0
24,0.0,0.0,3.0,0.0,22.0
25,0.0,0.0,4.0,0.0,21.0
26,0.0,0.0,5.0,0.0,20.0
27,0.0,0.0,6.0,0.0,19.0
28,1.0,0.0,7.0,0.0,17.0
29,1.0,0.0,8.0,1.0,15.0
30,0.0,0.0,12.0,2.0,11.0
31,1.0,0.0,11.0,2.0,11.0
32,1.0,0.0,14.0,2.0,8.0
33,2.0,0.0,16.0,2.0,5.0
34,2.0,0.0,19.0,2.0,2.0
35,1.0,0.0,20.0,3.0,1.0
36,2.0,0.0,18.0,5.0,0.0
37,2.0,0.0,16.0,7.0,0.0
38,7.0,0.0,14.0,4.0,0.0
39,6.0,0.0,11.0,8.0,0.0
40,6.0,0.0,10.0,9.0,0.0
41,7.0,0.0,10.0,8.0,0.0
42,6.0,0.0,9.0,10.0,0.0
43,7.0,1.0,8.0,9.0,0.0
44,4.0,1.0,7.0,13.0,0.0
45,4.0,0.0,5.0,16.0,0.0
46,5.0,1.0,4.0,15.0,0.0
47,2.0,1.0,2.0,19.0,1.0
48,4.0,1.0,2.0,17.0,1.0
49,3.0,3.0,1.0,17.0,1.0
50,5.0,4.0,0.0,15.0,1.0
51,4.0,4.0,0.0,16.0,1.0
52,4.0,5.0,0.0,15.0,1.0
53,3.0,5.0,0.0,16.0,0.0
54,4.0,4.0,0.0,16.0,0.0
55,6.0,1.0,0.0,17.0,0.0
56,10.0,1.0,0.0,13.0,0.0
57,7.0,2.0,0.0,15.0,0.0
58,8.0,2.0,1.0,13.0,0.0
59,10.0,3.0,0.0,11.0,0.0
60,9.0,4.0,0.0,11.0,0.0
61,5.0,7.0,0.0,12.0,0.0
62,6.0,6.0,0.0,12.0,0.0
63,6.0,8.0,0.0,10.0,0.0
64,8.0,7.0,0.0,9.0,0.0
65,7.0,7.0,0.0,10.0,0.0
66,7.0,6.0,0.0,11.0,0.0
67,7.0,7.0,0.0,10.0,0.0
68,9.0,7.0,0.0,8.0,0.0
69,7.0,8.0,0.0,9.0,0.0
70,8.0,8.0,0.0,8.0,0.0
71,9.0,7.0,0.0,8.0,0.0
72,8.0,6.0,0.0,10.0,0.0
73,7.0,7.0,0.0,10.0,0.0
74,9.0,5.0,0.0,10.0,0.0
75,9.0,5.0,0.0,10.0,0.0
76,10.0,7.0,0.0,7.0,0.0
77,9.0,5.0,0.0,10.0,0.0
78,9.0,5.0,0.0,10.0,0.0
79,8.0,6.0,0.0,10.0,0.0
80,9.0,7.0,0.0,8.0,0.0
81,8.0,7.0,0.0,9.0,0.0
82,9.0,6.0,0.0,9.0,0.0
83,8.0,9.0,0.0,7.0,0.0
84,9.0,9.0,0.0,6.0,0.0
85,8.0,10.0,0.0,6.0,0.0
86,8.0,11.0,0.0,5.0,0.0
87,6.0,11.0,0.0,7.0,0.0
88,6.0,11.0,0.0,7.0,0.0
89,6.0,10.0,0.0,8.0,0.0
90,6.0,8.0,0.0,10.0,0.0
91,7.0,8.0,0.0,9.0,0.0
92,8.0,7.0,0.0,9.0,0.0
93,7.0,7.0,0.0,10.0,0.0
94,7.0,8.0,0.0,9.0,0.0
95,6.0,11.0,0.0,7.0,0.0
96,7.0,11.0,0.0,6.0,0.0
97,7.0,11.0,0.0,6.0,0.0
98,9.0,10.0,0.0,5.0,0.0
99,9.0,10.0,0.0,5.0,0.0
100,9.0,9.0,0.0,6.0,0.0
101,10.0,8.0,0.0,6.0,0.0
102,10.0,8.0,0.0,6.0,0.0
103,10.0,8.0,0.0,6.0,0.0
104,11.0,7.0,0.0,6.0,0.0
105,9.0,9.0,0.0,6.0,0.0
106,8.0,10.0,0.0,6.0,0.0
107,8.0,9.0,0.0,6.0,1.0
108,10.0,7.0,0.0,6.0,1.0
