nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,950.5,937.5,95.1,93.8,1.09,1.9,0.3,62.64,4.80416304,7.86074492,1.9,0.9,1.9,1.17535735,119.6,90.8,129.6,144.2,119.6,1,12.0,10.9
2,1116.5,910.5,111.7,91.1,0.67,1.2,0.5,12.62,3.21421354,5.56959491,1.2,0.7,1.2,0.92361815,140.7,104.5,153.3,171.1,140.7,1,9.2,8.9
3,760.5,845.5,76.0,84.6,0.54,1.0,0.6,69.63,2.73137082,5.10539977,0.9,0.7,1.0,0.82918596,110.9,87.2,118.9,131.4,110.9,1,9.2,7.3
4,445.5,830.5,44.6,83.1,0.34,0.8,0.8,106.0,2.49705625,5.02654825,0.7,0.6,0.8,0.65795246,106.1,83.3,113.1,130.4,106.1,1,7.2,6.3
5,1068.5,789.5,106.9,79.0,0.91,1.6,0.7,70.47,4.03847759,7.50501473,1.6,0.8,1.6,1.07344389,146.1,110.6,158.8,173.7,146.1,1,10.7,10.2
6,10.5,789.5,1.1,79.0,0.71,0.9,1.0,11.3,3.21421354,5.97316043,1.0,0.9,0.9,0.95078919,132.1,103.9,142.1,154.7,132.1,1,14.1,6.1
7,898.5,753.5,89.9,75.4,0.99,1.7,0.5,39.28,4.46274165,7.4359495,1.6,0.8,1.7,1.1227231,130.2,98.5,140.6,159.6,130.2,1,11.6,10.2
8,223.5,698.5,22.4,69.9,1.2,1.7,0.3,18.09,4.54558433,7.08006247,1.7,1.0,1.7,1.23607745,116.0,89.4,124.4,142.5,116.0,1,13.8,10.2
9,880.5,665.5,88.1,66.5,0.71,0.9,1.0,45.0,3.13137083,5.97316043,0.9,0.9,0.9,0.95078919,168.7,137.0,180.2,192.4,168.7,1,8.4,10.2
10,869.5,651.5,87.0,65.2,0.1,0.5,0.4,121.72,1.28284271,2.83616679,0.4,0.3,0.5,0.35682482,150.3,121.3,160.8,170.9,150.2,1,3.2,5.3
11,620.5,620.5,62.1,62.1,1.18,1.5,1.0,46.31,4.20416297,7.93271979,1.5,1.0,1.5,1.22313387,161.3,126.0,173.9,188.8,161.3,1,11.1,12.2
12,324.5,571.5,32.5,57.2,0.55,0.9,0.8,66.93,2.95563489,5.3453285,0.9,0.8,0.9,0.83301594,140.7,108.2,152.1,167.4,140.7,2,10.5,9.0
13,1233.5,563.5,123.4,56.4,1.32,1.9,0.4,169.01,4.89705625,8.01703907,1.9,0.9,1.9,1.29640896,149.4,112.5,162.0,181.3,149.4,1,13.7,11.3
14,320.5,560.5,32.1,56.1,0.51,0.9,0.6,64.64,2.78994948,4.75963188,0.9,0.7,0.9,0.80186406,142.8,109.0,154.6,171.4,142.9,2,14.4,6.3
15,833.5,551.5,83.4,55.2,0.34,0.8,0.6,139.45,2.57989894,4.42069843,0.8,0.6,0.8,0.65795246,79.7,65.0,84.7,91.8,79.6,1,8.5,5.3
16,78.5,542.5,7.9,54.2,3.42,5.2,0.9,79.4,12.03259009,21.62985164,5.3,1.1,5.2,2.08521295,106.7,84.0,113.8,129.9,106.7,1,16.4,24.2
17,30.5,541.5,3.1,54.2,1.07,1.5,1.0,29.9,3.97989894,7.93271979,1.4,1.0,1.5,1.16720449,162.3,130.7,174.1,184.3,162.3,1,10.8,11.6
18,307.5,290.5,30.8,29.1,0.81,1.3,0.5,75.82,3.53137081,5.93775178,1.3,0.7,1.3,1.01554125,161.9,130.3,173.7,183.9,161.9,1,9.7,10.2
19,511.5,235.5,51.2,23.6,0.92,1.4,0.7,18.3,4.00416299,6.78191375,1.3,0.9,1.4,1.07935823,113.1,87.9,121.3,137.0,113.1,1,12.0,9.0
20,130.5,24.5,13.1,2.5,0.87,1.5,0.7,55.61,3.94558439,7.14193743,1.5,0.8,1.5,1.05248202,128.0,100.3,136.6,156.9,128.0,1,10.9,9.6
21,1242.5,12.0,124.2,1.2,0.81,1.3,0.8,125.58,3.57989893,6.69118043,1.3,0.8,1.3,1.01554125,121.2,89.7,130.9,154.3,121.3,1,13.0,7.4
