nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,788.5,812.5,78.9,81.2,0.92,1.5,0.8,19.54,3.97989895,7.39397902,1.5,0.8,1.5,1.08230328,130.0,92.6,140.8,172.7,130.0,1,10.8,10.2
2,235.5,767.5,23.6,76.8,0.44,0.4,0.7,31.71,2.53137082,3.52031622,0.8,0.7,0.4,0.74848206,122.4,91.4,132.8,150.1,122.4,1,7.7,7.3
3,754.5,727.5,75.5,72.8,0.51,0.8,0.7,85.83,2.67279217,4.71762642,0.9,0.7,0.8,0.80186406,126.2,92.9,136.7,159.5,126.2,1,8.0,7.8
4,519.5,502.5,52.0,50.2,0.62,1.1,0.3,85.32,3.09705622,4.76528499,1.1,0.7,1.1,0.88848664,172.2,139.7,184.1,196.2,172.2,1,7.0,10.9
5,1213.5,411.5,121.4,41.2,0.86,1.0,0.6,71.82,3.63847759,5.10539977,1.2,0.9,1.0,1.04336945,103.0,70.4,111.2,146.2,103.0,1,12.2,8.4
6,574.5,409.5,57.5,41.0,0.35,0.7,0.5,178.49,2.18994948,3.79613689,0.7,0.6,0.7,0.66277269,79.7,64.9,85.8,87.3,79.7,1,8.5,5.3
7,658.5,398.5,65.9,39.9,1.6,2.6,0.8,100.27,6.05269113,11.44399887,2.5,1.0,2.6,1.42506739,152.6,117.2,164.4,184.5,152.6,1,11.8,15.8
8,1083.5,323.5,108.4,32.4,2.17,1.9,1.6,92.99,7.81837652,11.01577953,1.9,1.8,1.9,1.66029022,122.3,87.5,132.5,161.0,122.3,1,18.4,13.7
9,1255.5,217.5,125.6,21.8,0.85,1.1,1.0,65.76,3.7213203,6.60108509,1.3,0.9,1.1,1.03724993,67.0,49.9,72.1,85.4,67.0,1,17.6,5.8
10,643.5,206.5,64.4,20.7,0.73,1.1,0.5,169.21,3.33137083,5.20487381,1.1,0.8,1.1,0.96408758,159.2,122.6,172.8,185.8,159.3,1,8.7,10.2
11,1182.5,180.5,118.2,18.1,1.45,1.8,0.9,96.66,6.15979791,8.71960339,2.1,1.2,1.8,1.35874845,93.6,67.1,101.3,123.2,93.6,1,15.1,11.3
12,938.5,174.5,93.9,17.4,1.39,1.6,0.8,133.25,5.40416299,7.75075857,1.8,1.2,1.6,1.32794457,111.1,82.4,120.4,138.7,111.1,1,14.1,11.6
13,577.5,167.5,57.8,16.8,0.3,0.2,0.6,175.51,2.15563488,2.67297856,0.6,0.6,0.2,0.61286676,95.6,76.0,103.7,105.3,95.6,1,7.4,5.3
14,922.5,146.5,92.2,14.7,1.05,1.4,0.9,121.29,4.12132028,7.31128766,1.6,0.9,1.4,1.15348833,162.8,126.0,176.0,191.2,162.8,1,10.1,12.2
15,1040.5,121.5,104.1,12.2,2.56,3.4,0.9,111.96,8.24264059,14.67689246,3.5,1.0,3.4,1.80540667,139.8,101.1,152.4,176.3,139.8,1,14.8,19.6
16,917.5,73.5,91.8,7.4,0.39,0.7,0.4,43.56,2.41421353,3.52031622,0.8,0.6,0.7,0.70467256,86.9,63.7,94.3,109.7,86.9,1,8.7,5.8
