nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,długośćmm,szerokośćmm,kąt,obwódmm,obwód_c.mm,średnica_fereta_hmm,średnica_fereta_vmm,średn._martinamm,średn._sitowamm,średnia_jaskrawość,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,22,953,2.2,95.3,1.23,1.31529464,1.10000000,8.75,3.74424224,3.68446149,1.4,1.2,1.4,1.1,233.6,84.1,126.4,158.0,116.5,233,100.0,12288.0
2,946,953,94.6,95.3,0.21,0.53851648,0.30000000,68.2,1.23890504,1.23890504,0.5,0.5,0.5,0.4,203.0,59.3,90.5,114.8,83.2,233,100.0,12288.0
3,827,950,82.7,95.0,0.12,0.36055513,0.20000000,123.69,0.78863495,0.78863495,0.3,0.4,0.3,0.2,170.7,63.1,94.6,109.7,86.3,233,100.0,12288.0
5,410,942,41.0,94.2,0.31,0.67082039,0.31622777,153.43,1.7764092,1.7512156,0.7,0.6,0.6,0.53851648,213.8,68.4,104.2,128.9,95.6,233,100.0,12288.0
7,638,939,63.8,93.9,0.21,0.5,0.28284271,126.87,1.22109048,1.22109048,0.5,0.5,0.5,0.4,198.2,63.0,94.6,117.1,87.1,233,100.0,12288.0
9,1202,933,120.2,93.3,0.81,1.2083046,0.63245553,114.44,3.14175823,3.12442194,1.1,1.2,0.9,0.78102497,226.1,66.4,106.1,140.4,97.4,233,100.0,12288.0
11,976,914,97.6,91.4,2.0,2.02484567,1.04403065,69.78,5.3853288,5.18375267,1.5,2.0,1.3,1.30384048,233.1,80.3,123.5,153.3,113.2,233,100.0,12288.0
12,269,916,26.9,91.6,1.65,2.41867732,0.80622577,150.26,6.01138071,5.38883522,2.2,1.4,1.7,0.86023253,229.2,78.8,116.9,142.1,107.6,233,100.0,12288.0
13,628,915,62.8,91.5,0.19,0.56568542,0.28284271,135.0,1.38125592,1.35606233,0.5,0.5,0.4,0.36055513,199.4,66.6,96.7,110.6,88.6,233,100.0,12288.0
14,909,906,90.9,90.6,1.44,1.43178211,1.20830460,24.78,4.44913259,4.1424953,1.4,1.4,1.3,1.34164079,227.6,94.3,142.7,163.6,129.9,233,100.0,12288.0
15,614,905,61.4,90.5,1.35,1.62788206,1.31529464,79.38,4.66667957,4.32077486,1.5,1.7,1.4,1.14017543,224.0,68.8,101.8,113.4,92.6,233,100.0,12288.0
16,1063,901,106.3,90.1,1.43,1.86815417,0.92195445,105.52,4.88101564,4.58868758,1.3,1.9,1.0,0.86023253,224.2,70.2,111.4,141.7,101.8,233,100.0,12288.0
17,437,895,43.7,89.5,1.07,1.22065556,0.94339811,145.01,3.55560729,3.43713546,1.2,1.2,1.1,1.0,228.3,80.5,123.3,150.9,112.8,233,100.0,12288.0
19,1165,894,116.5,89.4,0.89,1.16619038,0.80622577,30.96,3.06173865,3.03654506,1.1,1.0,1.1,0.89442719,235.1,77.3,122.2,158.9,112.2,233,100.0,12288.0
21,778,886,77.8,88.6,0.31,0.70710678,0.40000000,171.87,1.89349767,1.80815841,0.8,0.6,0.8,0.5,191.1,64.3,96.3,109.3,87.6,233,100.0,12288.0
22,25,883,2.5,88.3,0.75,1.08166538,0.80622577,33.69,2.83480038,2.83151076,1.0,0.8,1.0,0.7,231.7,90.9,127.6,156.7,119.1,233,100.0,12288.0
23,928,880,92.8,88.0,0.15,0.42426407,0.28284271,45.0,0.89442719,0.89442719,0.4,0.4,0.4,0.3,191.1,61.3,93.4,111.5,85.1,233,100.0,12288.0
24,874,877,87.4,87.7,0.31,0.63245553,0.40000000,71.57,1.7039332,1.68611864,0.6,0.7,0.6,0.5,211.3,64.5,97.0,116.9,88.9,233,100.0,12288.0
25,599,874,59.9,87.4,0.2,0.53851648,0.31622777,158.2,1.29356648,1.29356648,0.6,0.4,0.6,0.4,196.3,66.2,98.2,110.1,89.4,233,100.0,12288.0
28,519,858,51.9,85.8,0.32,0.78102497,0.28284271,129.81,1.75803881,1.75412161,0.6,0.7,0.6,0.42426407,205.8,67.8,99.8,112.9,91.1,233,100.0,12288.0
31,436,836,43.6,83.6,0.84,1.08166538,0.86023253,146.31,3.03002401,2.96614481,1.1,1.0,1.0,0.84852814,227.0,88.3,131.5,153.5,120.3,233,100.0,12288.0
32,598,838,59.8,83.8,0.1,0.36055513,0.10000000,123.69,0.82426407,0.82426407,0.3,0.4,0.3,0.2,155.7,66.2,97.7,110.3,89.1,233,100.0,12288.0
34,298,830,29.8,83.0,0.63,1.0,0.80000000,0.0,2.82579804,2.72792969,1.1,0.9,1.1,0.76157731,220.9,85.1,133.6,158.2,121.1,233,100.0,12288.0
35,201,831,20.1,83.1,0.25,0.58309519,0.31622777,149.04,1.55952416,1.54973652,0.6,0.5,0.6,0.4,215.4,71.5,105.2,127.6,97.0,233,100.0,12288.0
36,1090,825,109.0,82.5,0.9,1.25299641,0.80622577,61.39,3.24326215,3.19893591,0.9,1.2,0.9,0.8,230.7,79.1,125.2,159.1,114.5,233,100.0,12288.0
37,582,825,58.2,82.5,0.24,0.76157731,0.30000000,23.2,1.41717328,1.41270025,0.8,0.4,0.7,0.3,201.6,68.5,98.7,110.7,90.3,233,100.0,12288.0
38,365,823,36.5,82.3,0.15,0.42426407,0.28284271,45.0,0.98125592,0.98125592,0.4,0.4,0.4,0.3,197.9,67.1,99.1,117.7,91.0,233,100.0,12288.0
39,955,814,95.5,81.4,1.05,1.26491106,1.04403065,108.43,3.52335054,3.5155879,1.1,1.3,1.1,1.0,227.8,79.2,122.8,151.5,112.3,233,100.0,12288.0
40,172,813,17.2,81.3,1.34,1.87882942,0.76157731,154.8,4.70702817,4.50391835,1.8,1.3,1.3,0.86023253,227.9,75.8,119.1,146.2,108.4,233,100.0,12288.0
41,92,812,9.2,81.2,1.1,1.27279221,0.98994949,45.0,3.44918003,3.41995213,1.2,1.1,1.2,1.0,232.7,77.3,118.8,145.3,108.7,233,100.0,12288.0
42,412,802,41.2,80.2,1.74,2.15406592,1.17046999,158.2,5.4500871,5.18158732,2.1,1.4,1.7,1.20415946,227.8,82.2,124.4,144.6,113.4,233,100.0,12288.0
43,587,804,58.7,80.4,0.39,0.85440037,0.41231056,110.56,2.6436126,2.28861631,0.8,0.9,0.6,0.5,196.7,70.9,102.1,114.0,93.5,233,100.0,12288.0
44,1161,801,116.1,80.1,0.7,1.0198039,0.70000000,168.69,2.9025483,2.83243534,1.1,0.9,1.0,0.72111026,228.6,70.5,110.1,140.2,100.9,233,100.0,12288.0
45,791,802,79.1,80.2,0.18,0.4472136,0.31622777,116.57,1.26409863,1.24628407,0.5,0.5,0.5,0.36055513,189.4,64.3,98.5,117.4,89.8,233,100.0,12288.0
48,880,790,88.0,79.0,0.9,1.14017543,0.86023253,52.13,3.14221832,3.12199515,1.0,1.1,0.9,0.9,226.2,71.2,111.3,135.0,101.3,233,100.0,12288.0
49,125,784,12.5,78.4,1.24,1.36014705,1.01980390,107.1,3.74630007,3.71271625,1.3,1.4,1.1,1.14017543,227.1,79.0,126.6,154.6,114.8,233,100.0,12288.0
51,1137,780,113.7,78.0,1.32,1.45602198,0.92195445,105.95,3.90219785,3.8581785,1.1,1.5,1.1,1.0,228.7,86.2,134.3,161.0,122.2,233,100.0,12288.0
52,609,784,60.9,78.4,0.22,0.5,0.28284271,126.87,1.23890504,1.23890504,0.5,0.5,0.5,0.4,210.3,67.1,101.4,116.5,92.2,233,100.0,12288.0
53,1078,781,107.8,78.1,0.3,0.63245553,0.50990195,18.43,1.64628407,1.63890504,0.7,0.6,0.7,0.56568542,211.6,67.0,106.5,131.8,97.0,233,100.0,12288.0
54,327,774,32.7,77.4,0.39,0.72801099,0.50000000,15.95,1.96270435,1.94248118,0.8,0.6,0.8,0.5,217.6,70.4,106.4,134.4,98.1,233,100.0,12288.0
55,597,770,59.7,77.0,0.47,1.14017543,0.42426407,142.13,2.73165909,2.64375537,1.0,0.9,0.7,0.5,206.0,68.5,100.9,111.9,91.8,233,100.0,12288.0
56,1064,768,106.4,76.8,0.3,0.60827625,0.40000000,99.46,1.6244835,1.6244835,0.6,0.7,0.6,0.56568542,218.6,62.5,97.8,124.5,89.6,233,100.0,12288.0
57,1144,764,114.4,76.4,1.59,1.67630546,1.01980390,107.35,4.57691819,4.38281815,1.2,1.7,1.0,1.11803399,231.7,85.0,136.3,165.0,123.4,233,100.0,12288.0
58,926,766,92.6,76.6,0.25,0.63245553,0.30000000,71.57,1.55909203,1.55909203,0.5,0.7,0.5,0.4,198.5,65.2,98.6,118.2,90.2,233,100.0,12288.0
59,61,764,6.1,76.4,0.15,0.42426407,0.28284271,45.0,0.98125592,0.98125592,0.4,0.4,0.4,0.3,188.0,62.9,95.9,112.8,87.3,233,100.0,12288.0
61,1117,756,111.7,75.6,0.13,0.36055513,0.14142136,146.31,0.99907048,0.99907048,0.4,0.4,0.4,0.28284271,195.9,61.5,95.7,120.8,87.7,233,100.0,12288.0
62,1244,735,124.4,73.5,2.98,5.87281874,0.56568542,42.93,12.4667147,11.9056132,4.5,4.1,1.2,0.64031242,223.4,62.9,98.7,122.1,90.0,233,100.0,12288.0
63,943,752,94.3,75.2,0.52,0.92195445,0.60000000,102.53,2.39785672,2.38004216,0.7,1.0,0.7,0.6,213.5,67.3,105.1,125.3,95.4,233,100.0,12288.0
64,422,744,42.2,74.4,2.44,2.24722051,1.26491106,69.15,5.63409301,5.55747966,1.6,2.2,1.5,1.47648231,233.2,83.5,130.0,157.5,118.4,233,100.0,12288.0
66,1084,742,108.4,74.2,2.04,2.3430749,1.14017543,129.81,5.9204997,5.67399075,1.8,2.1,1.4,1.25299641,228.7,89.0,137.0,159.1,124.4,233,100.0,12288.0
67,804,748,80.4,74.8,0.45,0.76157731,0.63245553,156.8,2.03405832,2.03405832,0.8,0.7,0.8,0.6,218.9,70.3,103.0,119.4,94.4,233,100.0,12288.0
69,54,736,5.4,73.6,0.19,0.58309519,0.31622777,30.96,1.51355629,1.39508446,0.6,0.5,0.5,0.4472136,181.4,63.7,94.2,110.1,86.2,233,100.0,12288.0
70,860,734,86.0,73.4,0.38,0.67082039,0.44721360,26.57,1.86204708,1.85466805,0.7,0.6,0.7,0.6,220.2,75.9,117.8,145.8,107.8,233,100.0,12288.0
71,357,727,35.7,72.7,2.89,2.28473193,1.61554944,113.2,6.02013924,5.86774288,1.7,2.2,1.6,1.6,232.5,98.3,144.0,162.3,131.7,233,100.0,12288.0
72,1068,735,106.8,73.5,0.19,0.5,0.22360680,143.13,1.34049183,1.31876007,0.5,0.5,0.5,0.36055513,190.5,59.7,94.1,113.2,85.4,233,100.0,12288.0
