nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,długośćmm,szerokośćmm,kąt,obwódmm,obwód_c.mm,średnica_fereta_hmm,średnica_fereta_vmm,średn._martinamm,średn._sitowamm,średnia_jaskrawość,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,529,914,52.9,91.4,1.16,1.48660687,0.82462113,160.35,3.77316526,3.71625975,1.5,1.0,1.5,0.9,232.9,97.3,146.9,179.3,134.9,11,100.0,12288.0
2,1096,910,109.6,91.0,0.94,1.71172428,0.6,83.29,3.97321642,3.82926275,0.7,1.8,0.6,0.6,223.6,81.9,128.4,162.8,117.5,11,100.0,12288.0
3,1253,851,125.3,85.1,0.72,1.23693169,0.60827625,104.04,3.00352447,3.00352447,0.6,1.3,0.6,0.5,224.9,72.1,116.2,152.5,106.4,11,100.0,12288.0
4,1150,811,115.0,81.1,0.73,1.17046999,0.60827625,160.02,2.97839854,2.92695814,1.2,0.8,1.2,0.7,228.5,91.2,139.7,172.5,128.0,11,100.0,12288.0
5,1177,781,117.7,78.1,1.37,1.98494332,0.70710678,130.91,4.80563743,4.518435,1.5,1.6,1.2,0.78102497,226.1,100.8,154.3,182.7,140.7,11,100.0,12288.0
6,356,771,35.6,77.1,1.47,1.70293864,1.06301458,49.76,4.38967294,4.32530673,1.4,1.6,1.2,1.0,233.6,91.4,143.2,174.0,130.4,11,100.0,12288.0
8,641,726,64.1,72.6,1.74,2.32594067,0.63245553,25.46,5.25439125,5.19536562,2.2,1.4,1.6,0.89442719,235.7,95.5,145.3,176.3,133.2,11,100.0,12288.0
11,647,571,64.7,57.1,1.32,1.82482876,0.7,9.46,4.34248978,4.30537509,1.9,0.9,1.8,0.80622577,236.4,95.6,146.6,178.4,134.1,11,100.0,12288.0
12,824,542,82.4,54.2,0.96,1.33416641,0.80622577,102.99,3.4304371,3.39891769,0.8,1.4,0.8,0.7,229.0,86.0,135.2,165.6,123.1,11,100.0,12288.0
14,975,432,97.5,43.2,1.25,1.83847763,0.84852814,45.0,4.64785381,4.42405821,1.6,1.6,1.1,0.92195445,229.8,95.2,149.7,178.9,136.0,11,100.0,12288.0
15,304,334,30.4,33.4,2.31,2.13775583,1.31529464,10.78,5.79758252,5.39691706,2.2,1.4,2.1,1.3,235.4,109.4,157.6,178.5,144.8,11,100.0,12288.0
16,189,327,18.9,32.7,0.45,0.76157731,0.63245553,66.8,2.20459047,2.15710929,0.8,0.8,0.7,0.70710678,218.6,85.3,136.2,166.1,123.6,11,100.0,12288.0
17,277,325,27.7,32.5,0.99,1.43178211,0.76157731,24.78,3.4317236,3.39862364,1.4,0.9,1.4,0.8,233.5,99.0,155.1,181.4,140.4,11,100.0,12288.0
19,641,266,64.1,26.6,0.36,0.70710678,0.56568542,45.0,1.85039379,1.83257923,0.7,0.6,0.7,0.5,222.5,120.7,175.5,190.3,160.0,11,100.0,12288.0
20,780,123,78.0,12.3,1.06,1.25299641,0.89442719,118.61,3.49921017,3.43495639,1.2,1.2,1.2,1.07703296,222.2,106.5,159.4,180.4,145.2,11,100.0,12288.0
