nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,długośćmm,szerokośćmm,kąt,obwódmm,obwód_c.mm,średnica_fereta_hmm,średnica_fereta_vmm,średn._martinamm,średn._sitowamm,średnia_jaskrawość,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,951,937,95.1,93.7,1.05,1.74928557,0.67082039,30.96,4.22008174,3.9911879,1.6,1.1,1.5,0.80622577,228.7,98.9,143.9,160.9,131.7,25,100.0,12288.0
2,1117,910,111.7,91.0,0.77,1.33416641,0.6,77.01,3.09969345,3.06610963,0.7,1.4,0.7,0.6,220.4,110.8,163.4,182.7,149.1,25,100.0,12288.0
3,761,845,76.1,84.5,0.5,0.85440037,0.50990195,159.44,2.21077865,2.18558506,0.9,0.7,0.9,0.6,223.9,97.2,135.3,151.5,125.1,25,100.0,12288.0
4,446,830,44.6,83.0,0.33,0.64031242,0.5,38.66,1.74815911,1.7457505,0.7,0.6,0.7,0.5,222.1,86.8,122.8,151.8,114.7,25,100.0,12288.0
5,1069,789,106.9,78.9,1.04,1.45602198,0.80622577,15.95,3.84428609,3.68042667,1.5,1.0,1.4,0.9486833,231.7,115.0,166.7,184.1,152.4,25,100.0,12288.0
6,7,789,0.7,78.9,0.76,1.08166538,0.72111026,146.31,2.9332621,2.89522437,1.1,0.8,1.1,0.7,228.5,110.0,152.3,172.6,141.2,25,100.0,12288.0
7,899,753,89.9,75.3,1.18,1.64012195,0.78102497,37.57,4.39755456,4.10825108,1.5,1.4,1.3,1.0,229.5,98.6,143.8,164.0,131.8,25,100.0,12288.0
8,224,698,22.4,69.8,1.22,1.55241747,0.90553851,75.07,3.99817293,3.93838607,1.1,1.6,0.9,1.04403065,229.1,92.5,131.0,153.4,121.3,25,100.0,12288.0
9,881,665,88.1,66.5,1.18,1.30384048,1.0,4.4,3.70957688,3.63252754,1.4,1.2,1.3,1.1,225.6,118.6,159.9,177.0,148.8,25,100.0,12288.0
10,870,651,87.0,65.1,0.11,0.36055513,0.1,33.69,0.79907048,0.79907048,0.4,0.3,0.4,0.2,191.4,84.3,113.1,120.2,104.5,25,100.0,12288.0
11,621,620,62.1,62.0,1.77,1.74642492,1.17046999,23.63,4.6605183,4.5622677,1.7,1.4,1.7,1.17046999,234.1,112.5,157.6,175.5,145.4,25,100.0,12288.0
12,325,571,32.5,57.1,0.8,1.11803399,0.8,169.7,3.03255631,3.01026873,1.2,0.9,1.2,0.70710678,221.8,100.7,145.5,164.5,133.5,25,100.0,12288.0
13,1234,563,123.4,56.3,1.51,1.84390889,0.80622577,102.53,4.52650936,4.44762975,1.1,1.8,0.9,0.92195445,227.9,115.5,168.1,188.6,153.9,25,100.0,12288.0
14,321,560,32.1,56.0,0.35,0.64031242,0.42426407,51.34,1.87792717,1.83491903,0.7,0.7,0.7,0.64031242,211.0,85.8,117.5,131.7,109.0,25,100.0,12288.0
15,834,551,83.4,55.1,0.13,0.36055513,0.2236068,123.69,0.93005631,0.91224175,0.4,0.4,0.4,0.3,182.1,76.6,102.8,118.4,96.1,25,100.0,12288.0
16,79,542,7.9,54.2,2.97,5.02195181,0.90553851,12.65,10.840454,10.436842,5.0,1.5,4.0,0.92195445,233.8,89.7,123.6,143.5,115.1,25,100.0,12288.0
17,31,541,3.1,54.1,1.71,1.61554944,1.17046999,68.2,4.61889976,4.45183428,1.5,1.6,1.4,1.27279221,232.6,114.9,156.7,173.5,145.4,25,100.0,12288.0
19,308,290,30.8,29.0,1.23,1.58113883,0.82462113,18.43,3.88561616,3.82038995,1.6,1.0,1.6,0.9,229.2,120.6,162.8,174.7,150.9,25,100.0,12288.0
20,512,235,51.2,23.5,0.8,1.11803399,0.8,79.7,3.02808329,3.00712277,0.9,1.2,0.8,0.8,225.7,95.7,134.1,157.0,124.4,25,100.0,12288.0
21,131,24,13.1,2.4,1.01,1.52643375,0.67082039,31.61,3.56139486,3.48500166,1.4,1.0,1.3,0.92195445,231.4,99.7,138.8,164.0,129.2,25,100.0,12288.0
22,1243,9,124.3,0.9,0.74,1.16619038,0.67082039,149.04,2.9868996,2.90603338,1.1,1.0,1.0,0.80622577,221.4,102.9,152.4,178.4,139.8,25,100.0,12288.0
