nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,586.5,432.0,58.7,43.2,0.4,0.7,0.7,121.39,2.41421351,4.39822972,0.7,0.7,0.7,0.71364965,135.4,97.6,148.1,169.3,135.4,1,7.3,7.0
2,451.0,639.0,45.1,63.9,0.39,0.7,0.7,0.0,2.33137081,4.39822972,0.7,0.7,0.7,0.70467256,122.4,85.8,134.2,157.9,122.4,1,6.9,7.3
3,614.5,750.5,61.5,75.0,1.1,1.4,0.8,177.54,4.17989893,7.04063244,1.3,1.2,1.4,1.18345405,154.1,117.7,165.7,190.0,154.1,1,11.2,11.6
4,881.5,159.0,88.2,15.9,0.58,1.1,0.6,45.72,2.89705626,5.45684568,1.1,0.6,1.1,0.85934797,137.1,97.0,151.0,170.5,137.1,1,8.7,8.1
5,1117.0,85.5,111.7,8.6,0.58,1.1,0.3,160.67,2.93137083,4.76528499,1.0,0.7,1.1,0.85934797,106.3,70.4,116.3,149.1,106.3,1,8.9,8.1
6,36.5,541.5,3.7,54.2,0.7,1.1,0.8,130.22,3.29705622,6.00628745,1.1,0.8,1.1,0.94406974,144.6,106.2,158.1,176.4,144.6,1,9.5,9.0
7,781.0,57.0,78.1,5.7,0.76,1.5,0.8,30.11,3.80416298,7.39397902,1.4,0.8,1.5,0.98045696,146.8,102.6,162.2,184.0,146.9,1,9.6,9.6
8,1091.0,368.0,109.1,36.8,0.48,0.9,0.7,52.96,2.67279217,5.04620245,0.9,0.7,0.9,0.77768167,141.1,101.0,155.2,173.5,141.1,1,8.2,7.3
9,127.5,613.0,12.8,61.3,0.95,1.4,0.9,171.3,4.06274164,7.31128766,1.3,1.0,1.4,1.09980797,156.4,112.4,172.1,191.1,156.4,1,10.7,10.5
10,975.0,499.5,97.5,50.0,1.23,1.8,0.3,54.43,4.48700577,7.4700092,1.8,0.8,1.8,1.24888688,172.1,132.9,185.4,206.9,172.1,1,11.3,12.6
11,392.0,134.5,39.2,13.5,0.35,0.7,0.7,10.39,2.41421353,4.39822972,0.7,0.7,0.7,0.66755812,116.7,81.7,127.4,153.3,116.7,1,7.1,6.5
12,707.0,834.0,70.7,83.4,0.67,1.0,0.5,80.39,3.17989894,4.84422411,1.0,0.8,1.0,0.92361815,157.3,123.2,168.8,187.5,157.3,1,8.4,9.6
13,561.5,809.0,56.2,80.9,0.98,1.4,0.8,120.55,4.11126978,7.04063244,1.4,0.9,1.4,1.11703839,151.7,115.9,164.0,182.0,151.7,1,11.0,10.5
14,490.0,498.5,49.0,49.9,0.42,0.7,0.6,108.84,2.47279217,4.09011421,0.8,0.7,0.7,0.72690743,120.5,86.6,132.2,149.2,120.5,1,8.2,6.5
15,298.0,188.5,29.8,18.9,0.91,1.5,0.8,155.7,3.81421353,7.39397902,1.3,0.9,1.5,1.07640512,147.7,107.5,161.8,180.9,147.8,1,10.9,9.9
16,897.0,624.5,89.7,62.5,0.72,1.1,0.7,95.75,3.27279218,5.72489813,1.1,0.8,1.1,0.95413116,158.7,120.7,171.8,190.7,158.7,1,9.4,9.3
17,1251.5,182.0,125.2,18.2,0.48,0.9,0.7,8.28,2.69705622,5.04620245,0.8,0.7,0.9,0.78176402,108.4,72.4,118.8,149.1,108.4,1,8.5,7.0
18,36.0,123.0,3.6,12.3,0.67,1.1,0.7,0.0,3.13137081,5.72489813,1.1,0.7,1.1,0.92361815,156.3,116.4,170.7,186.8,156.3,2,9.6,9.0
19,1005.5,593.0,100.6,59.3,0.54,1.0,0.7,69.0,2.87279218,5.38236898,0.9,0.8,1.0,0.82533821,135.1,95.7,148.9,168.0,135.1,1,8.3,8.1
20,1190.5,304.0,119.1,30.4,0.6,1.0,0.7,33.67,2.97989891,5.38236898,1.0,0.7,1.0,0.87403874,143.5,103.1,157.8,175.9,143.5,1,9.0,8.1
21,14.0,928.0,1.4,92.8,1.96,2.5,1.0,19.22,6.14558436,11.50655623,2.5,1.1,2.5,1.57973083,161.8,115.6,177.9,200.8,161.8,1,18.2,12.3
22,978.0,179.5,97.8,17.9,0.48,0.9,0.7,13.73,2.67279218,5.04620245,0.9,0.7,0.9,0.77768167,151.0,109.3,166.0,183.1,151.0,1,7.9,7.6
23,216.0,768.5,21.6,76.9,0.85,1.4,0.7,138.54,3.92132031,6.78191375,1.5,0.8,1.4,1.03724993,103.6,67.5,113.1,149.2,103.6,1,11.0,9.3
24,137.0,59.5,13.7,6.0,0.61,1.1,0.7,98.56,3.01421353,5.72489813,1.1,0.7,1.1,0.8812923,140.1,99.3,154.6,172.7,140.1,1,9.3,8.1
25,910.5,838.0,91.1,83.8,1.43,1.8,0.9,39.78,4.80416303,8.71960339,1.5,1.3,1.8,1.34698417,150.1,109.0,163.5,189.4,150.1,1,12.3,13.3
26,1055.0,46.0,105.5,4.6,1.17,1.6,0.9,131.29,4.42842704,8.00868922,1.6,1.0,1.6,1.22052868,149.2,109.5,162.8,183.2,149.2,1,11.8,11.6
27,714.0,292.5,71.4,29.2,1.1,1.8,0.6,18.97,4.6870057,8.01893567,1.8,0.9,1.8,1.18076132,156.1,113.9,171.1,189.8,156.1,1,11.6,11.2
28,163.0,150.0,16.3,15.0,0.53,0.8,0.8,126.22,2.86274167,5.02654825,0.8,0.8,0.8,0.82147243,144.8,104.9,159.3,174.8,144.8,1,7.7,8.4
29,331.5,951.5,33.1,95.2,0.34,0.6,0.7,129.81,2.29705623,4.09011421,0.7,0.6,0.6,0.65795246,129.5,94.0,142.2,157.9,129.6,1,9.6,4.6
30,304.0,319.5,30.4,32.0,0.68,1.1,0.9,39.96,3.13137083,6.29890311,0.9,0.9,1.1,0.9304853,164.8,130.0,176.3,197.2,164.8,1,8.4,9.9
31,822.5,677.5,82.2,67.8,1.21,1.7,0.3,31.11,4.68700569,7.08006247,1.7,1.0,1.7,1.23864993,173.2,132.8,187.4,206.4,173.2,1,10.9,13.0
32,763.5,881.5,76.4,88.2,1.22,1.8,0.9,73.06,4.94558433,8.71960339,1.8,1.0,1.8,1.24633553,170.8,129.9,185.0,204.6,170.8,1,11.1,12.9
33,1249.5,418.0,125.0,41.8,0.42,0.9,0.3,171.13,2.55563487,4.00946783,0.8,0.7,0.9,0.72690743,81.7,54.5,88.2,119.4,81.7,1,8.2,6.5
