nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,115.5,865.5,11.6,86.6,3.3,3.19513035,1.4,165.06,8.10121922,14.99228216,3.0,1.5,3.2,2.04824908,121.7,81.7,132.7,170.1,121.7,1,21.0,17.4
2,364.5,806.5,36.5,80.7,2.31,2.5042511,1.3,166.25,6.26274166,12.25273341,2.3,1.3,2.5,1.71498786,132.2,88.3,145.5,178.5,132.2,1,17.5,14.9
3,544.5,750.5,54.5,75.0,1.59,2.03769722,1.0,135.7,5.33553382,9.82371115,2.0,1.0,2.0,1.42059307,134.3,91.8,147.8,176.6,134.4,1,14.0,13.0
4,837.5,672.5,83.8,67.2,4.16,4.7,1.1,4.44,11.65685413,20.02327651,4.7,1.6,4.7,2.30145096,119.8,81.0,130.9,164.4,119.8,1,19.4,24.1
5,740.5,616.5,74.0,61.7,0.77,1.24098997,1.0,24.16,3.29705623,7.0606463,1.1,0.8,1.2,0.9901487,148.0,103.2,163.8,184.2,148.0,1,9.0,10.2
6,1143.5,534.5,114.4,53.5,1.23,1.79960861,1.0,24.44,4.82842706,8.97553267,1.7,1.0,1.8,1.25143303,87.3,57.7,94.1,130.5,87.4,1,14.2,10.2
7,426.5,495.5,42.7,49.6,0.67,1.11199665,0.9,167.57,3.17989892,6.33842978,0.9,0.9,1.1,0.92361815,95.5,63.8,104.3,133.3,95.5,1,11.1,7.3
8,559.5,480.5,56.0,48.1,0.51,0.93927088,0.7,74.6,2.75563488,5.17738763,0.9,0.7,0.9,0.80186406,90.3,62.3,97.2,128.3,90.3,1,9.3,6.8
9,494.5,410.5,49.5,41.1,1.1,1.4,1.1,179.34,4.42842706,7.88228151,1.3,1.2,1.4,1.18345405,95.8,63.9,104.4,135.1,95.8,1,13.4,9.6
10,293.5,335.5,29.4,33.6,1.5,2.2,0.9,77.01,5.56984842,10.17203439,2.1,1.0,2.2,1.37967138,93.9,62.6,102.1,133.5,93.9,1,16.5,10.5
11,860.5,317.5,86.1,31.8,1.11,1.58642502,0.9,64.92,4.32132031,7.96089096,1.6,1.0,1.6,1.18614067,92.1,59.7,100.2,135.1,92.1,1,13.6,9.6
12,587.5,188.5,58.8,18.9,8.81,10.85190887,1.3,101.93,21.02670257,44.34841211,9.2,1.4,10.9,3.34826436,110.1,72.7,120.4,155.6,110.2,1,22.9,42.5
13,719.5,179.5,72.0,17.9,0.95,1.4184845,1.0,95.83,3.75563487,7.65487326,1.3,0.9,1.4,1.09690992,100.3,65.0,109.6,144.9,100.3,1,12.5,9.0
14,300.5,148.5,30.1,14.9,2.1,2.5312973,1.3,157.8,6.16984844,12.34922774,2.5,1.2,2.5,1.63322896,105.8,70.9,115.4,147.9,105.8,1,17.5,13.5
15,1081.5,132.5,108.2,13.2,0.52,0.9633132,0.8,9.66,2.75563488,5.5514978,0.9,0.7,1.0,0.80976439,74.0,51.3,79.7,103.6,74.0,1,10.2,6.3
16,583.5,99.5,58.4,10.0,0.84,1.18070202,1.0,30.98,3.6870057,6.86264283,1.1,1.0,1.2,1.03109409,60.2,43.7,64.8,79.4,60.1,1,18.7,5.3
17,454.5,48.5,45.5,4.9,2.72,3.22730026,1.2,81.91,7.61837655,14.64797528,3.1,1.2,3.2,1.85925936,110.4,73.2,120.1,158.2,110.4,1,18.9,16.2
18,730.5,16.0,73.0,1.6,1.07,1.64417019,0.9,15.73,4.15563488,8.16463831,1.5,0.9,1.6,1.16447418,111.7,74.4,121.4,160.1,111.8,1,14.5,8.7
