nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,długośćmm,szerokośćmm,kąt,obwódmm,obwód_c.mm,średnica_fereta_hmm,średnica_fereta_vmm,średn._martinamm,średn._sitowamm,średnia_jaskrawość,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,183,918,18.3,91.8,0.36,0.72111026,0.36055513,146.31,1.79695011,1.79695011,0.7,0.6,0.7,0.5,221.5,64.9,94.9,132.0,89.4,64,100.0,12288.0
2,510,841,51.0,84.1,6.52,10.2961158,2.53179778,168.8,24.6194273,22.0632146,10.2,3.7,6.0,2.64764046,228.4,86.3,121.4,136.5,112.0,64,100.0,12288.0
3,1085,848,108.5,84.8,0.1,0.31622777,0.1,161.57,0.79907048,0.79907048,0.4,0.3,0.4,0.2,189.4,80.1,114.0,123.2,104.2,64,100.0,12288.0
4,413,839,41.3,83.9,0.31,0.64031242,0.36055513,141.34,1.73650582,1.7039332,0.7,0.6,0.7,0.4472136,213.3,83.8,119.4,143.9,110.9,64,100.0,12288.0
5,82,826,8.2,82.6,2.11,2.0808652,1.22065556,35.22,5.61182207,5.41847003,1.9,1.8,1.8,1.20415946,234.7,99.6,144.0,168.7,132.8,64,100.0,12288.0
6,113,791,11.3,79.1,2.78,2.3194827,1.40356688,97.43,6.08336601,5.98863091,1.5,2.4,1.5,1.40356688,237.0,107.1,154.1,175.2,141.7,64,100.0,12288.0
7,567,796,56.7,79.6,0.77,1.04403065,0.82462113,163.3,2.92384793,2.88374579,1.1,1.0,1.0,0.78102497,219.4,100.4,146.0,162.5,133.5,64,100.0,12288.0
8,197,792,19.7,79.2,0.51,1.00498756,0.6,5.71,2.58782913,2.47729628,1.1,0.7,1.1,0.72111026,212.6,107.7,157.4,174.5,143.7,64,100.0,12288.0
9,21,788,2.1,78.8,0.8,1.17046999,0.82462113,160.02,3.12029404,3.03122125,1.2,1.0,1.1,0.78102497,223.3,98.0,139.8,159.9,128.9,64,100.0,12288.0
10,567,738,56.7,73.8,1.25,1.80277564,0.80622577,123.69,4.48969791,4.26922226,1.3,1.6,0.9,0.89442719,228.2,101.4,145.7,164.2,133.8,64,100.0,12288.0
11,240,735,24.0,73.5,1.19,1.36014705,1.0,36.03,3.6318971,3.6302714,1.2,1.2,1.2,1.08166538,232.1,105.5,152.2,170.7,139.6,64,100.0,12288.0
12,411,726,41.1,72.6,0.87,1.08166538,0.89442719,56.31,3.05972639,3.05525336,1.1,1.0,1.1,0.9,228.1,99.7,144.4,162.3,132.3,64,100.0,12288.0
13,527,713,52.7,71.3,0.23,0.50990195,0.3,168.69,1.35606233,1.35606233,0.6,0.5,0.6,0.4,216.4,78.4,107.9,129.3,100.9,64,100.0,12288.0
14,57,707,5.7,70.7,0.15,0.41231056,0.2,165.96,1.11876007,1.11876007,0.5,0.4,0.5,0.3,192.1,73.0,98.7,115.5,92.3,64,100.0,12288.0
15,578,704,57.8,70.4,0.26,0.58309519,0.4472136,59.04,1.52912679,1.51131223,0.6,0.6,0.6,0.50990195,194.5,93.6,130.1,139.5,119.6,64,100.0,12288.0
16,84,697,8.4,69.7,1.6,1.83847763,1.07703296,112.38,4.90776635,4.7189173,1.5,1.8,1.0,1.2083046,230.1,95.9,136.6,157.4,126.1,64,100.0,12288.0
17,102,650,10.2,65.0,0.38,0.72801099,0.5,15.95,1.97400058,1.93837147,0.8,0.6,0.8,0.5,218.9,98.9,142.3,158.4,130.5,64,100.0,12288.0
18,308,603,30.8,60.3,0.7,1.1045361,0.6,174.81,2.85490258,2.76069482,1.2,0.8,1.2,0.7,222.8,99.4,143.7,161.5,131.8,64,100.0,12288.0
19,870,588,87.0,58.8,1.38,1.47648231,1.07703296,61.7,4.06304219,3.94466856,1.3,1.4,1.3,1.06301458,226.7,113.3,154.5,174.3,143.7,64,100.0,12288.0
20,587,561,58.7,56.1,1.41,1.74928557,0.94339811,149.04,4.4232505,4.27886369,1.7,1.2,1.5,1.04403065,230.0,103.4,146.2,164.9,134.8,64,100.0,12288.0
21,419,527,41.9,52.7,0.73,1.11803399,0.7,169.7,3.04558908,2.85893062,1.2,0.8,1.1,0.7,224.5,104.3,150.7,167.2,138.0,64,100.0,12288.0
22,781,520,78.1,52.0,3.33,3.9661064,1.08166538,146.31,10.0297997,8.76420867,3.4,2.6,1.6,1.14017543,232.7,102.4,145.3,165.5,134.1,64,100.0,12288.0
23,51,513,5.1,51.3,2.62,2.78926514,1.43178211,75.47,7.65529309,6.94656413,1.6,2.8,0.9,1.52970585,233.3,99.6,142.0,163.4,131.0,64,100.0,12288.0
